sensor,u_B_azimuth_deg,bias_x_mm,bias_y_mm,bias_z_mm
lidar_NE,44.2364,-87.0738,14.8166,130.5552
lidar_NE,54.9484,17.1251,-482.4306,-181.1715
lidar_NE,59.4417,-67.4285,-226.7970,138.0970
lidar_NE,59.1201,-71.0191,-162.8780,221.8606
lidar_NE,56.7172,48.9557,-109.1856,-195.1751
lidar_NE,53.8922,-91.7760,-136.9803,28.2423
lidar_NE,51.4888,-37.4627,-219.4363,-82.1538
lidar_NE,50.0311,-26.3123,-66.3392,-36.4407
lidar_NE,49.9915,-171.0756,-164.8529,33.2877
lidar_NE,51.8348,20.9801,-306.7732,-122.9098
lidar_NE,55.8776,-37.4396,-216.7544,-103.1067
lidar_NE,62.0290,-114.5242,-235.1788,42.2240
lidar_NE,69.4030,0.2568,-204.5312,42.0483
lidar_NE,75.3880,27.6001,-256.4042,-49.1941
lidar_NE,72.2289,-76.7252,-235.3481,-24.7697
lidar_NE,43.9110,-157.3587,-61.8804,36.4412
lidar_NE,19.3355,-214.1620,-49.9298,-30.9145
lidar_NE,18.5610,-205.3324,-52.0381,24.5148
lidar_NE,25.3883,-342.4914,125.8626,-14.9986
lidar_NE,33.1130,-211.7356,-55.6137,63.3361
lidar_NE,39.3902,-55.6528,-160.6844,53.4928
lidar_NE,43.3637,-84.7537,-130.1788,32.0672
lidar_NE,44.8370,-214.1246,-257.0877,-5.2206
lidar_NE,43.9367,-89.6369,-287.9068,-6.1661
lidar_NE,40.9826,25.0707,-152.5117,39.6479
lidar_NE,36.5426,-123.3750,-103.7455,-2.4645
lidar_NE,31.6077,-172.1434,165.5738,112.7330
lidar_NE,27.7538,-128.7178,-27.1858,-89.4926
lidar_NE,27.2426,-306.7567,121.0992,75.5088
lidar_NE,32.7333,-234.1572,-60.2792,-61.7044
lidar_NE,42.6545,-260.8427,-51.0660,75.2980
lidar_NE,53.2767,-247.5790,-129.6320,-15.8927
lidar_NE,57.7006,-121.4854,-178.0358,150.5809
lidar_NE,57.3115,-117.5429,-277.7792,-45.0678
lidar_NE,54.8581,-101.0033,-253.2011,44.7493
lidar_NE,52.0074,32.6839,-173.2250,-31.1676
lidar_NE,49.6136,-147.1589,-171.8777,13.7869
lidar_NE,48.2101,-6.0317,-97.6714,163.5282
lidar_NE,48.2657,-61.4648,-234.9675,-20.8630
lidar_NE,50.2229,-132.0583,-133.8668,47.9295
lidar_NE,54.3689,-189.5038,-161.4986,-13.4496
lidar_NE,60.5954,-136.2787,-195.7239,-56.4017
lidar_NE,68.0356,-67.4128,-119.2226,35.4125
lidar_NE,74.2223,-9.8165,-169.8062,-2.9350
lidar_NE,72.2790,-150.3539,-288.8039,12.0004
lidar_NE,48.4993,-62.8895,-138.4341,-49.7799
lidar_NE,24.2368,-204.8036,-15.2408,-13.3457
lidar_NE,22.0243,-195.1247,-8.3241,93.8235
lidar_NE,28.1900,-185.3934,41.0791,51.9374
lidar_NE,35.6284,-163.5272,13.7965,8.2861
lidar_NE,41.7455,-221.5264,-150.0287,105.7237
lidar_NE,45.5596,-220.5505,-169.5705,-106.3676
lidar_NE,46.8029,106.9666,-49.1450,48.7451
lidar_NE,45.5648,-56.0506,-71.6812,-109.5376
