seed,p15_centroid_mm,p15_obs_mm,p15_joint_mm,wu_ne_obs_mm,wu_sw_obs_mm
13025,63.5253,18.4499,20.4911,12.1492,42.0411
13026,52.2225,21.6748,26.8726,43.0799,17.6854
13027,60.9788,31.0799,25.8816,23.0193,28.5577
13028,50.2198,50.2198,37.4899,35.3801,18.8364
13029,43.5432,19.8750,16.3753,21.3711,44.7000
13030,68.7995,24.6403,12.1526,30.0242,18.0890
13031,52.0017,22.3838,24.4355,25.5942,27.0782
13032,70.8702,20.1472,22.4822,34.7629,42.2126
13033,37.6678,37.6678,40.4307,29.1393,31.6126
13034,57.2755,53.6557,42.2424,42.7875,19.2962
