seed,mc_draws,white_ok,coherent_ok,white_rel_over_abs,coherent_rel_over_abs,white_corr,coherent_corr
13025,20,20,20,3.101100,0.166187,0.401548,1.000000
13026,20,20,20,2.986231,0.183648,0.401548,1.000000
13027,20,20,20,2.850399,0.214920,0.401548,1.000000
13028,20,20,20,3.287243,0.231852,0.401548,1.000000
13029,20,20,20,2.775567,0.244346,0.401548,1.000000
13030,20,20,20,3.264951,0.581656,0.401548,1.000000
13031,20,20,20,3.036457,0.201408,0.401548,1.000000
13032,20,20,20,3.155022,0.216251,0.401548,1.000000
13033,20,20,20,3.064077,0.220157,0.401548,1.000000
13034,20,20,20,3.005378,0.205111,0.401548,1.000000
