azimuth_span_deg,yaw_cv_mean,seed,centroid_mm,obs_mm,obs_applied
5.0000,0.0022,13025,626.9543,593.9841,1
5.0000,0.0018,13026,318.3405,315.0452,1
5.0000,0.0019,13027,362.5332,348.8395,1
5.0000,0.0019,13028,476.4861,476.4861,0
5.0000,0.0019,13029,427.9826,411.8875,1
5.0000,0.0020,13030,509.6213,509.6213,0
5.0000,0.0017,13031,366.7978,349.6071,1
5.0000,0.0020,13032,535.2835,535.2835,0
5.0000,0.0019,AGGREGATE,452.9999,442.5943,
12.0000,0.0116,13025,343.9806,308.9906,1
12.0000,0.0106,13026,234.4594,234.4594,0
12.0000,0.0107,13027,251.7084,236.7273,1
12.0000,0.0108,13028,298.4426,287.0994,1
12.0000,0.0106,13029,275.2517,275.2517,0
12.0000,0.0110,13030,288.4171,279.1547,1
12.0000,0.0102,13031,261.3012,261.3012,0
12.0000,0.0111,13032,328.9631,322.9200,1
12.0000,0.0108,AGGREGATE,285.3155,275.7380,
25.0000,0.0483,13025,253.4807,185.6392,1
25.0000,0.0463,13026,230.5200,202.6906,1
25.0000,0.0467,13027,218.6267,179.0143,1
25.0000,0.0465,13028,237.3894,193.2452,1
25.0000,0.0458,13029,227.5962,174.3796,1
25.0000,0.0472,13030,234.6750,169.2358,1
25.0000,0.0452,13031,252.1161,205.5145,1
25.0000,0.0473,13032,241.8260,186.5580,1
25.0000,0.0467,AGGREGATE,237.0288,187.0347,
40.0000,0.1201,13025,213.1963,102.9587,1
40.0000,0.1170,13026,213.9672,174.5284,1
40.0000,0.1181,13027,191.9660,120.6672,1
40.0000,0.1169,13028,211.1369,124.3804,1
40.0000,0.1154,13029,220.3529,191.2378,1
40.0000,0.1182,13030,206.6341,90.4966,1
40.0000,0.1146,13031,226.1330,144.8283,1
40.0000,0.1187,13032,209.2030,118.1655,1
40.0000,0.1174,AGGREGATE,211.5737,133.4079,
65.0000,0.2992,13025,164.8054,43.9336,1
65.0000,0.2944,13026,162.1097,110.6788,1
65.0000,0.2974,13027,147.8769,51.4228,1
65.0000,0.2946,13028,169.2080,103.0601,1
65.0000,0.2911,13029,166.7587,55.5207,1
65.0000,0.2958,13030,156.6823,34.6497,1
65.0000,0.2903,13031,177.0811,79.7068,1
65.0000,0.2974,13032,163.6491,84.2509,1
65.0000,0.2950,AGGREGATE,163.5214,70.4029,
95.0000,0.5799,13025,108.0750,30.7891,1
95.0000,0.5734,13026,109.6832,57.7527,1
95.0000,0.5787,13027,95.1856,29.0808,1
95.0000,0.5747,13028,109.7509,46.4837,1
95.0000,0.5694,13029,109.4711,20.6129,1
95.0000,0.5753,13030,95.2929,42.5348,1
95.0000,0.5692,13031,82.2991,35.2863,1
95.0000,0.5778,13032,78.3608,55.0102,1
95.0000,0.5748,AGGREGATE,98.5148,39.6938,
130.0000,0.9203,13025,51.5835,4.8589,1
130.0000,0.9320,13026,27.3814,27.3814,0
130.0000,0.9615,13027,41.1742,36.6116,1
130.0000,0.9453,13028,46.2996,32.0941,1
130.0000,0.9433,13029,44.9423,16.9501,1
130.0000,0.9441,13030,45.0828,27.3718,1
130.0000,0.9267,13031,60.9224,29.4189,1
130.0000,0.9388,13032,59.5222,41.4024,1
130.0000,0.9390,AGGREGATE,47.1135,27.0111,
165.0000,0.7638,13025,63.5253,18.4499,1
165.0000,0.7722,13026,52.2225,21.6748,1
165.0000,0.7598,13027,60.9788,31.0799,1
165.0000,0.7561,13028,50.2198,50.2198,0
165.0000,0.7742,13029,43.5432,19.8750,1
165.0000,0.7670,13030,68.7995,24.6403,1
165.0000,0.7784,13031,52.0017,22.3838,1
165.0000,0.7549,13032,70.8702,20.1472,1
165.0000,0.7658,AGGREGATE,57.7701,26.0589,
